item_id,item_name,item_category,mfg_date,exp_date,item_price
0,NMR Distribution Zoltar Fortunes Playing,Toys,8/22/2022,6/15/2024,10.99
1,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,6/28/2023,1/5/2025,12.99
2,"Doctor Who: Series Three, Part Two (DVD)","Movies, Music & Books",1/4/2023,3/12/2024,10.89
3,Blue Panda 75 Pieces Tie Dye Birthday Pa,Party Supplies,12/11/2022,7/13/2024,26.99
4,Sullivans Hammered Metal Wall Medallions,Home,6/13/2022,12/21/2023,118.99
5,Northlight Set of 36 Green and Gold Cont,Holiday Shop,10/6/2022,8/24/2024,87.49
6,"Northlight 5.25"" Green 3D Tree With Silv",Holiday Shop,12/1/2022,10/2/2024,11.99
7,Of Beasts and Beings - by  Ian Holding (,"Movies, Music & Books",1/25/2023,12/18/2024,10.69
8,NCAA Illinois Fighting Illini Circo Chee,Sports & Outdoors,12/7/2023,9/29/2025,58.95
9,"Stockroom Plus 50 Pack Nylon Cable Ties,",Electronics,9/6/2023,3/9/2025,12.99
10,Sullivans Mediterranean Bird Yard Stakes,Home,1/26/2023,4/6/2024,75.99
11,"Kurt S. Adler 13"" Luck of the Irish Eleg",Holiday Shop,11/4/2023,9/30/2025,37.49
12,Scribe - by  Alyson Hagy (Paperback),"Movies, Music & Books",4/14/2022,11/25/2023,16
13,"Blue Panda Jumbo Dinosaur Floor Puzzle, ",Toys,4/3/2023,2/16/2025,19.99
14,Women's Round Aviator Sunglasses - Unive,Health,3/21/2022,1/2/2024,15
15,Sullivans Gold-Brushed Botanical Panels ,Home,5/8/2022,10/30/2023,134.99
16,"Sullivans Terracotta Angel Birdhouse 13""",Home,8/6/2022,2/1/2024,60.99
17,Sullivans Lustrous Brushed Gold Tray Set,Home,7/21/2022,10/23/2023,106.99
18,"Evergreen 12"" Solar Woodland Friends Gar",Patio & Garden,2/3/2022,3/11/2023,57.99
19,"Roman 7"" White and Green Santa's Train S",Home,2/6/2023,5/29/2024,26.24
20,Genie Crafts 10-Pack Wood Photo Frame Cl,Party Supplies,6/15/2023,7/28/2024,17.99
21,Sullivans Wooden Tray With Handles Set o,Home,8/20/2023,4/3/2025,167.99
22,How to Deal with Difficult People - by  ,"Movies, Music & Books",4/27/2022,6/5/2023,18
23,McMafia - by  Misha Glenny (Paperback),"Movies, Music & Books",5/8/2023,3/11/2025,16.99
24,GiGi New York Purple City Wallet,"Clothing, Shoes & Accessories",11/6/2022,1/10/2024,140
25,Northlight 60ct Vegas Gold Shatterproof ,Holiday Shop,4/5/2022,8/24/2023,31.24
26,Sullivans Lustrous Brushed Gold Metal Va,Home,12/2/2023,10/5/2025,113.99
27,"Raz Imports 7"" Weathered Elegant Champag",Holiday Shop,6/27/2023,8/26/2024,11.99
28,Pulling Back the Curtain on Magic! - (Sc,"Movies, Music & Books",10/13/2023,12/1/2024,3.99
29,Surviving and Thriving with an Invisible,"Movies, Music & Books",12/5/2023,7/7/2025,12.69
30,Skittles Wild Berry Sharing Size Chewy C,Grocery,12/13/2022,8/24/2024,3.39
31,Blue Panda 6-Pack Wind-Up Walking Chatte,Party Supplies,2/24/2022,12/31/2023,15.99
32,Sullivans Marbleized Deco Metal Vase Set,Home,1/3/2022,7/27/2023,96.99
33,"Roncato UNO ZSL Premium 28"" 4-Wheel Larg",Luggage,12/7/2023,1/15/2025,420
34,Northlight Set of 3 White Clear Lighted ,Holiday Shop,5/2/2022,1/14/2024,49.99
35,A Naturalist's Guide to the Snakes of Au,"Movies, Music & Books",7/17/2022,6/9/2024,17.99
36,Sullivans Two-Tiered Countertop Basket 1,Home,4/6/2023,10/5/2024,131.99
37,HON Metal Bookcase Two-Shelf 34-1/2w x 1,Furniture,4/5/2022,1/7/2024,282.59
38,Bovine Reproduction - 2nd Edition by  Ri,"Movies, Music & Books",11/17/2023,3/18/2025,251.99
39,"Kurt S. Adler 2.75"" Despicable Me Pirate",Holiday Shop,8/23/2022,2/5/2024,10.99
40,Nitrogen Management in Crop Production -,"Movies, Music & Books",12/20/2022,6/22/2024,104.99
41,Sullivans Sculpted Wire Bird Art Panels ,Home,8/4/2023,1/9/2025,183.99
42,Acure Ultra Hydrating Overnight Dream Cr,Beauty,10/12/2023,8/31/2025,12.29
43,Total Homefx Pro Weather-Resistant Infla,Electronics,3/10/2022,12/1/2023,499.99
44,"Roman 12"" Rainbow Iridescent Snowflake C",Holiday Shop,2/5/2022,4/30/2023,28.74
45,Tapered Leg Pub Table Wood/Mahogany - Cr,Furniture,2/26/2023,6/22/2024,224.99
46,Good and Cheap - by  Leanne Brown (Paper,"Movies, Music & Books",6/18/2022,4/6/2024,10.19
47,Sparkle and Bash 51 Pack Patriotic Votin,School & Office Supplies,7/9/2022,4/10/2024,10.99
48,Corkcicle Classic 16 Ounce Canteen Tripl,Sports & Outdoors,9/6/2022,4/18/2024,26.99
49,Baby Girls' Fruit Print One Piece Swimsu,"Clothing, Shoes & Accessories",11/4/2023,1/1/2025,12
50,Sunlite Straight Cable Cable Only 10mm 4,Sports & Outdoors,10/15/2022,8/22/2024,24.32
51,Docker Recliner Chair Gray,Furniture,8/22/2022,1/4/2024,557.99
52,Floortex Desktex Polycarbonate Anti-Slip,School & Office Supplies,5/20/2022,8/27/2023,72.72
53,"Samsung QN55QN85BA 55"" Neo QLED 4K Smart",Electronics,12/21/2022,9/22/2024,1397.99
54,"NORTHLIGHT 5"" Portly Smiling Snowman wit",Holiday Shop,12/17/2023,4/21/2025,12.99
55,Kingdom of Curious Creatures - by  Kanok,"Movies, Music & Books",12/20/2023,4/17/2025,15.29
56,Insten Construction Toy Parking Garage D,Toys,9/6/2023,5/15/2025,50.99
57,Denon AVR-X8500HA 13.2ch 8K AV Receiver ,Electronics,4/13/2022,1/11/2024,4599
58,Klean Kanteen 10oz Stainless Steel Cup -,Sports & Outdoors,5/24/2023,8/2/2024,10.39
59,Browning Camping Side by Side 0 Degree S,Sports & Outdoors,3/2/2023,12/2/2024,199.99
60,Creative Haven Favorite Hymns Coloring B,"Movies, Music & Books",1/27/2023,9/26/2024,5.39
61,Blue Rose Polish Pottery Nature Soup Tur,Kitchen & Dining,4/7/2022,6/19/2023,98.5
62,Remote Control Flatbed Truck- 4 Channel ,Electronics,12/3/2023,4/19/2025,40.95
63,Bright Creations 36-Pack White Cardboard,School & Office Supplies,6/3/2022,12/4/2023,20.99
64,The Fourth Ruby - (Section 13) by  James,"Movies, Music & Books",6/18/2022,10/29/2023,8.99
65,Makita GA4534-R 6 Amp Compact 4-1/2 in. ,Home,4/23/2023,6/26/2024,79.99
66,NEEDTOBREATHE - Acoustic Live Vol. 1 (CD,"Movies, Music & Books",11/2/2022,12/10/2023,11.19
67,"OontZ ULTRA Bluetooth Speakers, IPX7 Wat",Electronics,5/15/2022,7/27/2023,39.99
68,Corkcicle Luxe Collection 12 Oz Triple I,Sports & Outdoors,7/2/2022,5/22/2024,24.99
69,Nexcare Max Hold All One Size - 60ct,Health,10/17/2022,5/28/2024,6.99
70,Cases in Pediatric Acute Care - by  Andr,"Movies, Music & Books",12/14/2022,10/23/2024,61.99
71,The Tree That Wants to Fly - by  Ramona ,"Movies, Music & Books",5/16/2023,9/8/2024,12.49
72,"Samsung QN50Q80BA 50"" QLED 4K Smart TV (",Electronics,1/19/2023,4/4/2024,999.99
73,"Melrose 3"" Ombre Mercury Glass Onion Sha",Holiday Shop,6/21/2022,2/17/2024,8.99
74,Genie Crafts Wood Quote Signs - Eat Drin,Toys,5/16/2022,9/7/2023,8.99
75,mDesign 2 Tier Office Spinning Lazy Susa,School & Office Supplies,7/4/2022,10/11/2023,30
76,"Northlight 9' x 14"" Unlit Colorado Spruc",Home,11/17/2023,7/29/2025,31.24
77,Girls' Red Balloon Bumblebee Plastic Tim,"Clothing, Shoes & Accessories",12/25/2022,7/4/2024,11.76
78,"mDesign Stackable Plastic Craft, Sewing ",Home,9/7/2022,7/1/2024,17
79,mDesign Plastic Stackable Craft Storage ,Home,6/5/2023,3/25/2025,26.99
80,The Norton Anthology of World Religions:,"Movies, Music & Books",8/8/2022,11/23/2023,23.99
81,Safco Machine Stand Under-Desk Mobile 21,School & Office Supplies,12/10/2022,6/27/2024,163.11
82,"NeQwa 7"" White and Red Hand Painted Blow",Holiday Shop,7/9/2022,9/4/2023,61.24
83,mDesign Long Plastic Divided Office Draw,School & Office Supplies,6/8/2022,7/26/2023,25.29
84,NCAA South Florida Bulls 3'x5' Vintage F,Patio & Garden,12/25/2022,8/29/2024,29.74
85,Staples 3 File Drawers Vertical File Cab,Furniture,6/14/2022,1/22/2024,205.83
86,Jfk: An American Coup d'Etat - by  Colon,"Movies, Music & Books",2/8/2023,4/18/2024,15.19
87,Secrets of the Japanese Art of Warfare -,"Movies, Music & Books",4/28/2022,11/19/2023,9.99
88,mDesign 2 Tier Office Spinning Lazy Susa,School & Office Supplies,4/21/2022,3/1/2024,17
89,Write To Die - by  Susan C Richards (Pap,"Movies, Music & Books",3/24/2023,5/16/2024,15.99
90,Blue Panda 3-Piece Rainbow Unicorn Honey,Party Supplies,10/25/2022,12/27/2023,8.99
91,NCAA UCF Knights 3'x5' Vintage Flag,Patio & Garden,5/21/2022,1/18/2024,29.74
92,Fire and Rescue Incident Command - by  T,"Movies, Music & Books",4/21/2022,10/13/2023,47.49
93,Pro Track Flex Rave LED 6-Light Satin Ch,Home,12/26/2022,5/2/2024,269.99
94,Browning Big Horn 5 + Screen Room Tent,Sports & Outdoors,5/9/2022,12/13/2023,399.99
95,Stamina AeroPilates 05-0103 Yellow Light,Sports & Outdoors,5/14/2022,7/17/2023,16.49
96,Herzen Rustic Industrial Style Antique T,Furniture,7/11/2022,6/4/2024,132.74
97,Northlight 60ct Shatterproof Shiny Chris,Holiday Shop,8/28/2023,11/24/2024,31.24
98,mDesign Plastic Home Office Organizer Ca,School & Office Supplies,10/11/2022,5/15/2024,15.99
99,"Lorell Credenza Shell 60""x24""x29-1/2"" Ma",Furniture,9/11/2022,5/4/2024,238.49
100,Sparkle and Bash 100 Pack Gold Foil Init,Party Supplies,10/21/2022,4/2/2024,16.99
101,Monoprice Speaker Wire / Cable - 100 Fee,Electronics,4/9/2023,2/4/2025,47.62
102,Five Star Snap-In Plastic Folder 20 Shee,School & Office Supplies,7/20/2022,12/13/2023,21.42
103,mDesign Plastic Stackable Playroom Toy S,Home,1/17/2022,5/15/2023,20.49
104,Possini Euro Design Chrome Drum Pendant ,Home,9/7/2023,12/28/2024,599.99
105,mDesign Expandable Divided Office Desk D,School & Office Supplies,10/16/2023,7/30/2025,23
106,School Zone Mazes 96-Page Workbook - (Ac,"Movies, Music & Books",9/21/2022,7/13/2024,5.99
107,Tiny Love - by  Larry Brown (Paperback),"Movies, Music & Books",12/8/2023,1/16/2025,16.99
108,mDesign Divided Home Office Desk Organiz,School & Office Supplies,12/26/2023,10/25/2025,15.99
109,Exustar ARC Clipless Cleat - Float (deg),Sports & Outdoors,9/28/2023,6/24/2025,23.23
110,Northlight Set of 6 Gold Shiny Shatterpr,Holiday Shop,2/20/2022,10/29/2023,6.99
111,"Wooden Rectangles for Crafts, Panel Boar",Toys,4/7/2022,6/14/2023,11.99
112,Cambridge Vienna Weekly/Monthly Appointm,School & Office Supplies,10/2/2023,8/2/2025,20.31
113,2pk Varick Two-Tone Dining Chair Walnut ,Furniture,5/2/2022,7/1/2023,129.99
114,Moist & Meaty Beef Steak Flavor Dry Dog ,Pets,1/23/2023,4/9/2024,6.89
115,mDesign Long Stackable Office Storage Co,School & Office Supplies,5/11/2022,7/20/2023,20
116,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,5/26/2023,11/26/2024,12.99
117,House of Doolittle Recycled Monthly Hori,School & Office Supplies,9/5/2022,2/6/2024,14.43
118,Disguise Warcraft Durotan's Costume War ,Holiday Shop,8/27/2022,7/8/2024,29.99
119,mDesign Plastic Home Office Desk Storage,School & Office Supplies,8/2/2022,9/13/2023,15.99
120,"Evergreen 40""H Silver Whimsy Reindeer wi",Patio & Garden,10/2/2023,3/4/2025,239.99
121,A Common Table - by  Cynthia Chen McTern,"Movies, Music & Books",3/6/2023,11/8/2024,30.49
122,House of Doolittle 100% Recycled Geometr,School & Office Supplies,2/25/2023,6/20/2024,18.54
